start,end,duration,speaker,language,text,confidence
0.0,5.0,5.0,SPEAKER_00,de,"Hey, guys, how are you doing?",0.3326
5.0,6.0,1.0,SPEAKER_00,de,"Hi, Saki.",0.3326
6.0,7.0,1.0,SPEAKER_00,de,How are you?,0.3326
7.0,8.0,1.0,SPEAKER_00,de,I'm fine.,0.3326
8.0,9.0,1.0,SPEAKER_00,de,"Oh, good.",0.3326
9.0,10.0,1.0,SPEAKER_00,de,We are complete.,0.3326
10.0,11.0,1.0,SPEAKER_00,de,Hi.,0.3326
11.0,12.0,1.0,SPEAKER_01,de,Thanks.,0.3326
12.0,13.0,1.0,SPEAKER_01,de,Hi.,0.3326
13.0,14.0,1.0,SPEAKER_01,de,Hi.,0.3326
14.0,15.0,1.0,SPEAKER_01,de,Hi.,0.3326
15.0,16.0,1.0,SPEAKER_01,de,Hi.,0.3326
16.0,17.0,1.0,SPEAKER_01,de,Hi.,0.3326
17.0,18.0,1.0,SPEAKER_01,de,Hi.,0.3326
18.0,19.0,1.0,SPEAKER_01,de,Hi.,0.3326
19.0,20.0,1.0,SPEAKER_01,de,Hi.,0.3326
20.0,21.0,1.0,SPEAKER_01,de,Hi.,0.3326
21.0,22.0,1.0,SPEAKER_02,de,Hi.,0.3326
22.0,23.0,1.0,SPEAKER_02,de,Hi.,0.3326
23.0,24.0,1.0,SPEAKER_02,de,Hi.,0.3326
24.0,25.0,1.0,SPEAKER_02,de,Hi.,0.3326
25.0,26.0,1.0,SPEAKER_02,de,Hi.,0.3326
26.0,27.0,1.0,SPEAKER_02,de,Hi.,0.3326
27.0,28.0,1.0,SPEAKER_02,de,Hi.,0.3326
28.0,29.0,1.0,SPEAKER_02,de,Hi.,0.3326
29.0,30.0,1.0,SPEAKER_02,de,Hi.,0.0146
30.0,31.0,1.0,SPEAKER_02,de,Hi.,0.0146
31.0,32.0,1.0,SPEAKER_02,de,Hi.,0.0146
32.0,33.0,1.0,SPEAKER_02,de,Hi.,0.0146
33.0,34.0,1.0,SPEAKER_02,de,Hi.,0.0146
34.0,35.0,1.0,SPEAKER_00,de,Hi.,0.0146
35.0,36.0,1.0,SPEAKER_00,de,Hi.,0.0146
36.0,37.0,1.0,SPEAKER_00,de,Hi.,0.0146
37.0,38.0,1.0,SPEAKER_02,de,Hi.,0.0146
38.0,39.0,1.0,SPEAKER_02,de,park in the middle.,0.0146
39.0,44.0,5.0,SPEAKER_04,de,"tilted schuhig,",0.0146
44.0,45.0,1.0,SPEAKER_04,de,und ripp TL.,0.0146
45.0,46.0,1.0,SPEAKER_04,de,Quiklessness.,0.0146
46.0,47.0,1.0,SPEAKER_04,de,Streich inflation.,0.0146
47.0,48.0,1.0,SPEAKER_04,de,Martin!,0.0146
48.0,49.0,1.0,SPEAKER_04,de,RTL!,0.0146
49.0,50.0,1.0,SPEAKER_04,de,See you later!,0.0146
50.0,51.0,1.0,SPEAKER_05,de,"Hi, Pax.",0.0146
51.0,52.0,1.0,SPEAKER_05,de,"Hi, Pierre.",0.0146
52.0,53.0,1.0,SPEAKER_05,de,"Hi, Pierre.",0.0146
53.0,54.0,1.0,SPEAKER_05,de,argl.,0.0146
54.0,55.0,1.0,SPEAKER_05,de,"Hey, Peter.",0.0146
55.0,56.0,1.0,SPEAKER_00,de,"Hi, Peter.",0.0146
56.0,57.0,1.0,SPEAKER_00,de,"Hi, Ryan.",0.0146
57.0,64.0,7.0,SPEAKER_06,de,Das ist warum er einen Wick aus dem Wasser hat.,0.1342
64.0,71.0,7.0,SPEAKER_06,de,Der Polizist ist nach vorne gesucht.,0.1342
71.0,77.0,6.0,SPEAKER_06,de,"Okay, ich würde sagen, starten wir in die Woche.",0.1342
77.0,79.0,2.0,SPEAKER_06,de,"Leo, go fight.",0.1342
79.0,82.0,3.0,SPEAKER_07,de,"Okay, perfekt.",0.1342
82.0,84.0,2.0,SPEAKER_07,de,Ich starte.,0.4044
84.0,90.0,6.0,SPEAKER_07,de,"Ich hatte vorgeabs diese Woche Plugins zu testen, die ich letzte Woche angefangen habe.",0.4044
90.0,92.0,2.0,SPEAKER_07,de,Da bin ich noch nicht reingekommen.,0.4044
92.0,96.0,4.0,SPEAKER_07,de,"Da hatte ich andere Prios, vor allem PRs.",0.4044
96.0,100.0,4.0,SPEAKER_07,de,"Die sind jetzt aber immer noch im Draft-Modus,",0.4044
100.0,106.0,6.0,SPEAKER_07,de,"weil der Kunde sie noch testen muss, also die Funktionalität.",0.4044
106.0,111.0,5.0,SPEAKER_07,de,"Was ich noch vorhatte, ein Plugin in Creative Contract, Content Rating, Relation.",0.4044
111.0,115.0,4.0,SPEAKER_07,de,"Da hatte ich auch Learnings, warum ich auch der Beste bin.",0.4199
